id:ID,Name,Age,Gender,Income,LoanAmount,TrustLevel,LoanStatus,LoanPurpose,:LABEL
429004198012064135,酆固光,39,Male,18099,18948,Excellent,Fully Paid,house,user
420684199211056654,韩冠庆,27,Male,9481,23810,Medium,Applying,everyday life,user
513331199506078313,顾茂国,24,Male,3732,6382,BlackList,Paying,everyday life,user
411503197005293514,山顺,49,Male,17850,38682,Medium,Paying,vehicle,user
210105197509153207,苍冰,44,Female,14873,23903,BlackList,Fully Paid,everyday life,user
341822195703249110,胥策,62,Male,31713,88262,Medium,Applying,tuition,user
230604197002206379,奚峰清,49,Male,18501,55503,High,No Data,No Data,user
321283196909173633,戎承,50,Male,31736,90419,Medium,Paying,vehicle,user
440785198105271830,应刚宁,38,Male,9453,20101,Excellent,Paying,tuition,user
350524197110217250,郁群泽,48,Male,5990,17970,Low,No Data,No Data,user
654026198903086445,庚春,30,Female,5106,3119,BlackList,Fully Paid,tuition,user
131026196812226544,隗娟竹,51,Female,30976,24145,BlackList,Applying,house,user
441521199102210067,滕卿,28,Female,11810,20108,BlackList,Paying,everyday life,user
140602199908154026,牛伊,20,Female,6113,18339,High,No Data,No Data,user
520102198807098708,匡婵蓉,31,Female,8970,8134,Low,Fully Paid,vehicle,user
230205196810215561,郎丹,51,Female,10994,8050,Medium,Applying,house,user
140107196306284505,方月,56,Female,10767,32301,High,No Data,No Data,user
230402196605281721,伊秋婷,53,Female,16802,33087,Low,Fully Paid,tuition,user
620725197909125878,扶诚,40,Male,9770,14323,Medium,Fully Paid,vehicle,user
141125196611248113,卜之波,53,Male,18593,23657,Low,Paying,tuition,user
411481197406029693,洪光,45,Male,18589,55767,Low,No Data,No Data,user
622901200010181778,孙诚,19,Male,9615,28845,BlackList,No Data,No Data,user
532301195803109535,咸之,61,Male,10619,12102,Critical,Applying,house,user
410505196611141414,文飞军,53,Male,10127,25187,Excellent,Applying,vehicle,user
500111199601284632,扈信利,23,Male,9448,8999,High,Paying,vehicle,user
230202196308080715,荀和,56,Male,7901,23703,Medium,No Data,No Data,user
340405200012117503,寇娣,19,Female,19677,4541,Medium,Applying,everyday life,user
410327199112257377,经航斌,28,Male,23935,25099,Low,Applying,vehicle,user
630104199705229141,於颖凡,22,Female,12854,38562,BlackList,No Data,No Data,user
410901199604118748,崔华娣,23,Female,29854,76560,Medium,Fully Paid,vehicle,user
511325196509221446,潘苑颖,54,Female,3958,8019,Excellent,Fully Paid,vehicle,user
510682196903155464,简露婵,50,Female,2563,905,Low,Fully Paid,vehicle,user
411702196901173463,荀凝,50,Female,31125,55921,Excellent,Fully Paid,tuition,user
431230198705063971,郎永,32,Male,8213,11189,Critical,Applying,everyday life,user
340303199904019093,龚辉,20,Male,12123,7314,Excellent,Fully Paid,tuition,user
320602199710157341,於洁,22,Female,18500,55500,Medium,No Data,No Data,user
411221198211154297,殳维博,37,Male,3840,9708,Excellent,Paying,vehicle,user
320505196312301666,杨璧莺,56,Female,19903,26595,Excellent,Paying,house,user
510812199510079835,陶峰顺,24,Male,30356,83042,Medium,Applying,everyday life,user
411628195501144348,晁薇,64,Female,14989,44967,Excellent,No Data,No Data,user
360781197301018464,松香,46,Female,2084,5285,Low,Paying,vehicle,user
513325197510300261,嵇枝,44,Female,11616,34848,High,No Data,No Data,user
430581198805095739,朱武,31,Male,14305,58,Excellent,Paying,tuition,user
510923197108063405,席羽,48,Female,24192,72576,Excellent,No Data,No Data,user
350825196309232511,孟龙平,56,Male,12404,37212,High,No Data,No Data,user
320301198506303327,奚眉,34,Female,13040,30169,Critical,Paying,tuition,user
120105199911032789,郁锦,20,Female,6105,2887,Low,Paying,everyday life,user
350429196804064754,黎绍成,51,Male,19212,33229,Critical,Paying,everyday life,user
542301197006273745,班瑞,49,Female,11054,2857,Excellent,Paying,house,user
420222198110113857,蔡发,38,Male,30536,91608,Low,No Data,No Data,user
520222195803017752,司健,61,Male,13667,15007,BlackList,Paying,vehicle,user
230826196408209003,杜纨,55,Female,6735,20205,Critical,No Data,No Data,user
310106197507108161,马馨,44,Female,9179,27537,Medium,No Data,No Data,user
341182198806074219,暨翔奇,31,Male,11444,34332,Excellent,No Data,No Data,user
532601199902170416,晏翔坚,20,Male,28641,9429,Medium,Paying,house,user
350623197102267931,邢江杰,48,Male,27753,47160,Excellent,Paying,tuition,user
530302200008205268,狄瑞枝,19,Female,10530,5617,BlackList,Paying,tuition,user
140522196404249762,利媛,55,Female,17752,53256,Excellent,No Data,No Data,user
150601198501099119,阚敬,34,Male,22570,41619,High,Paying,vehicle,user
410883198106012413,瞿政,38,Male,18727,56181,Medium,No Data,No Data,user
371325198610261456,终旭,33,Male,9403,8877,Medium,Paying,everyday life,user
530621199101035671,边涛平,28,Male,12994,38982,Low,No Data,No Data,user
510182198801023137,冷勇,31,Male,6345,19035,Low,No Data,No Data,user
653222199207238641,康妹,27,Female,22465,21208,Medium,Applying,vehicle,user
320381197302248335,夏启伟,46,Male,24940,29775,Low,Applying,vehicle,user
653127199203304048,薛璧瑶,27,Female,12543,37344,Low,Applying,house,user
330702197007154665,穆秀,49,Female,11955,234,High,Applying,house,user
451302197002012230,耿民,49,Male,27290,81870,Low,No Data,No Data,user
410621199906025849,康育,20,Female,23293,44485,Low,Applying,house,user
130181196811290395,贾泽伯,51,Male,3489,3779,Medium,Paying,vehicle,user
321084199801029155,储天,21,Male,9112,24111,Low,Fully Paid,everyday life,user
